league,comp,round,h_coach,h_team,h_img,h_score,a_score,a_img,a_team,a_coach,uuid,ID
BigO,Season 7 Div 1,11,Lynxx,Capital Rats,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,TARDIS,Miraskadu,00000000,0
BigO,Season 7 Div 1,11,Walkerthon,The Astrorkz,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,Bash Incorporated,PapaNasty,00000000,0
BigO,Season 7 Div 1,11,Morka,White Line,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Human.png,Bay Area Butchers,Starkeweather,00000000,0
BigO,Season 7 Div 1,11,DeezMFK,Drakkar's Dominators,http://images.bb2.cyanide-studio.com/races/Picto_Norse.png,,,http://images.bb2.cyanide-studio.com/races/Picto_DarkElf.png,Shadowhill Cowboys,Sandune,00000000,0
BigO,Season 7 Div 1,11,HirumaMajere,Flying Rainbow Ponies,http://images.bb2.cyanide-studio.com/races/Picto_HighElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Necromantic.png,WesC's Wolves,WesleyC,00000000,0
BigO,Season 7 Div 1,11,schlice,Ratfuckers United,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,Warc Machine III,Lyskaris,00000000,0
BigO,Season 7 Div 1,10,Miraskadu,TARDIS,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,,,http://images.bb2.cyanide-studio.com/races/Picto_DarkElf.png,Shadowhill Cowboys,Sandune,00000000,0
BigO,Season 7 Div 1,10,WesleyC,WesC's Wolves,http://images.bb2.cyanide-studio.com/races/Picto_Necromantic.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Human.png,Bay Area Butchers,Starkeweather,00000000,0
BigO,Season 7 Div 1,10,Lyskaris,Warc Machine III,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,Bash Incorporated,PapaNasty,00000000,0
BigO,Season 7 Div 1,10,schlice,Ratfuckers United,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,Capital Rats,Lynxx,00000000,0
BigO,Season 7 Div 1,10,HirumaMajere,Flying Rainbow Ponies,http://images.bb2.cyanide-studio.com/races/Picto_HighElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,The Astrorkz,Walkerthon,00000000,0
